event,tpos,bank,beta,crush,fwd,xb_fwd,rel,alpha
2019-05-21,3873,SKBNK,-0.07985455036785767,0.002840806104383864,0.11764736201704307,0.12924554472002936,-0.011598182702986293,0.12796820687770985
2019-05-21,3873,TSKB,-0.12061878752500886,0.03619156721411376,0.10769231070647756,0.12924554472002936,-0.021553234013551803,0.1232817516036168
2019-05-21,3873,VAKBN,-0.08736228704520665,-0.0407883938239354,0.1592920192161149,0.12924554472002936,0.03004647449608555,0.1705832055932602
2019-05-21,3873,YKBNK,-0.068778065033534,0.015873137230271284,0.15591413151573885,0.12924554472002936,0.026668586795709492,0.16480338999578756
2019-10-13,3968,AKBNK,-0.05312215028437336,0.09037746495288967,0.08597268379382439,0.04617540818706689,0.0397972756067575,0.08842562076698005
2019-10-13,3968,ALBRK,-0.07934543112035569,0.09056926966322154,0.058824018316501636,0.04617540818706689,0.012648610129434745,0.06248782598626286
2019-10-13,3968,GARAN,-0.07215895742074799,0.08944052803421776,0.1600954944542985,0.04617540818706689,0.1139200862672316,0.1634274637675547
2019-10-13,3968,HALKB,-0.08253246137675735,-0.009350765158600782,0.04536866723742894,0.04617540818706689,-0.0008067409496379518,0.049179637330184045
2019-10-13,3968,ICBCT,-0.12985847371723203,0.2295330798206825,0.14058361073999182,0.04617540818706689,0.09440820255292492,0.1465798787704345
2019-10-13,3968,ISCTR,0.0007280624220920801,0.08364866935146309,0.0803575007132078,0.04617540818706689,0.034182092526140906,0.08032388213368204
2019-10-13,3968,SKBNK,-0.07750575765170746,0.08873753951894359,0.09677341311956789,0.04617540818706689,0.050598004932500995,0.10035227311598337
2019-10-13,3968,TSKB,-0.10196213690779529,0.08525893281423425,0.07142858767202598,0.04617540818706689,0.025253179484959087,0.07613673096336902
2019-10-13,3968,VAKBN,-0.06987700108514266,-0.015749436254842597,0.106537541169057,0.04617540818706689,0.06036213298199011,0.10976414021705158
2019-10-13,3968,YKBNK,-0.0018892457046184989,0.012458143473815353,0.13333336051299427,0.04617540818706689,0.08715795232592738,0.1334205972045707
2020-03-22,4081,AKBNK,-0.026678824245789132,0.05225933907409708,0.029574997680594572,-0.001710601508409848,0.03128559918900442,0.029529360843597124
2020-03-22,4081,ALBRK,-0.007387524980525404,0.011057483183824268,0.08737836141532762,-0.001710601508409848,0.08908896292373747,0.08736572430395252
2020-03-22,4081,GARAN,-0.02795872841253339,-0.005075239334929704,0.1199422758570674,-0.001710601508409848,0.12165287736547725,0.1198944496140717
2020-03-22,4081,HALKB,-0.035543127661852955,0.042705876599472004,0.08583693314701901,-0.001710601508409848,0.08754753465542886,0.08577613301922704
2020-03-22,4081,ICBCT,-0.0242680980532051,-0.0795925855045061,0.4143835638808273,-0.001710601508409848,0.41609416538923716,0.41434205083569126
2020-03-22,4081,ISCTR,-0.010748592204551936,0.0620943083292238,0.04615423748830372,-0.001710601508409848,0.047864838996713566,0.04613585093026533
2020-03-22,4081,SKBNK,-0.0408441430536081,-0.021621671052001856,0.1666672220054286,-0.001710601508409848,0.16837782351383845,0.16659735395271139
2020-03-22,4081,TSKB,-0.05411944433090161,0.03971172170658932,0.056179727048852435,-0.001710601508409848,0.05789032855726228,0.05608715024574569
2020-03-22,4081,VAKBN,-0.05476963598022967,0.07298054169791779,0.050458665929975055,-0.001710601508409848,0.0521692674383849,0.050364976908052216
2020-03-22,4081,YKBNK,0.02905393180688878,0.04916357913980751,0.06250003547061556,-0.001710601508409848,0.0642106369790254,0.06254973517018966
2020-08-05,4171,AKBNK,-0.060909399932424044,0.04050554817769747,0.07838977287828541,0.06471987684843983,0.013669896029845585,0.08233182174082426
2020-08-05,4171,ALBRK,-0.03845217295298712,0.04513904196686125,0.17777790595523313,0.06471987684843983,0.1130580291067933,0.18026652585330535
2020-08-05,4171,GARAN,-0.06949579104622211,0.013672577952528853,0.10664616044028219,0.06471987684843983,0.04192628359184236,0.11114391947827859
2020-08-05,4171,HALKB,-0.061812429148849324,0.0577476174518623,0.02964428795725116,0.06471987684843983,-0.03507558889118867,0.0336447807594676
2020-08-05,4171,ICBCT,-0.009150719807806493,0.10471086598404855,0.13076929425347017,0.06471987684843983,0.06604941740503034,0.13136152771250598
2020-08-05,4171,ISCTR,-0.05332875110725868,0.07835398433576657,0.09327612465831625,0.06471987684843983,0.028556247809876423,0.09672755486245913
2020-08-05,4171,SKBNK,-0.1331346211478192,0.14283919759588792,0.20155091682239457,0.06471987684843983,0.13683103997395474,0.21016737310734512
2020-08-05,4171,TSKB,-0.06658108543877986,0.05850268109193035,0.07619047214766095,0.06471987684843983,0.01147059529922112,0.08049959179769423
2020-08-05,4171,VAKBN,-0.07922833316470627,0.02943823836742132,0.041162244935423864,0.06471987684843983,-0.023557631913015964,0.04628989290075081
2020-08-05,4171,YKBNK,-0.07541442160271518,0.08160864747538632,0.05365856714429462,0.06471987684843983,-0.011061309704145206,0.05853937922301867
2021-12-21,4517,AKBNK,0.03617166553040479,0.01879765253846588,-0.032938096749512646,-0.02896049326873862,-0.003977603480774028,-0.031890547473400296
2021-12-21,4517,ALBRK,0.07045249939057932,-0.14467261747467364,-0.005464900354924973,-0.02896049326873862,0.023495592913813645,-0.003424561220558289
2021-12-21,4517,GARAN,-0.0006284917042050399,-0.048348918561567644,-0.03619534341125363,-0.02896049326873862,-0.007234850142515015,-0.036213544841022724
2021-12-21,4517,HALKB,-0.002796073269537028,-0.014833039998586095,0.0,-0.02896049326873862,0.02896049326873862,-8.097566110132709e-05
2021-12-21,4517,ICBCT,-0.05096649597318826,-0.0680096230227788,0.0036496315432303916,-0.02896049326873862,0.03261012481196901,0.002173616679667679
2021-12-21,4517,ISCTR,0.008989852351732615,0.05176709673773905,-0.029909200320006768,-0.02896049326873862,-0.0009487070512681495,-0.02964884976148746
2021-12-21,4517,SKBNK,-0.006435836573575472,-0.08598125763509812,0.0,-0.02896049326873862,0.02896049326873862,-0.00018638500176773427
2021-12-21,4517,TSKB,-0.012271387341325882,-0.04534997841940058,0.02040814591823481,-0.02896049326873862,0.04936863918697343,0.02005276048773826
2021-12-21,4517,VAKBN,-0.02655470912884318,-0.047552128753852174,-0.010498677809387513,-0.02896049326873862,0.018461815459351105,-0.011267715284366688
2021-12-21,4517,YKBNK,0.051214135434650684,-0.05518300607217663,0.008620677960177403,-0.02896049326873862,0.03758117122891602,0.010103864584696871
2022-02-23,4563,AKBNK,-0.04448550875033331,0.10108593049108516,0.0014306366918939162,0.01489288648542586,-0.013462249793531944,0.002093154323959049
2022-02-23,4563,ALBRK,-0.0034834730422979186,0.05306347256753119,0.0927150930930134,0.01489288648542586,0.07782220660758754,0.09276697206160739
2022-02-23,4563,GARAN,-0.052518784736831206,0.07721906135272993,0.06448672296484648,0.01489288648542586,0.04959383647942062,0.06526887926428462
2022-02-23,4563,HALKB,-0.0953683411425592,0.0543591683282173,0.07328603815170709,0.01489288648542586,0.05839315166628123,0.07470634803064659
2022-02-23,4563,ICBCT,-0.06563009183798249,0.027600150577951177,0.002169143547736674,0.01489288648542586,-0.012723742937689186,0.003146565055507821
2022-02-23,4563,ISCTR,-0.08270093058254954,0.13908527577237262,0.06307505852903716,0.01489288648542586,0.048182172043611304,0.06430671410044216
2022-02-23,4563,SKBNK,-0.07208573258434542,0.10319452509406313,0.043478152653937174,0.01489288648542586,0.028585266168511314,0.04455171728653459
2022-02-23,4563,TSKB,-0.11136331395765545,0.040313487716021834,0.046511688726807776,0.01489288648542586,0.031618802241381916,0.04817020992021998
2022-02-23,4563,VAKBN,-0.07089484206004072,0.053505781463990876,0.024539853969351322,0.01489288648542586,0.009646967483925462,0.025595682804553703
2022-02-23,4563,YKBNK,-0.08176640851080591,0.09074900904060057,0.042492857673885,0.01489288648542586,0.027599971188459138,0.04371059551415739
2022-07-04,4652,AKBNK,-0.06389243631838361,0.013438533755219972,0.10000004451225464,0.14913505627344725,-0.049135011761192615,0.10952864659804443
2022-07-04,4652,ALBRK,-0.06301362405625632,-4.785683452690481e-05,0.0661156585194349,0.14913505627344725,-0.08301939775401235,0.07551319888905854
2022-07-04,4652,GARAN,-0.09149137823356457,-0.020658637533417123,0.12100969415531848,0.14913505627344725,-0.02812536211812877,0.13465426599671637
2022-07-04,4652,HALKB,-0.15769017831072765,-0.07982171824587825,0.0726872084755179,0.14913505627344725,-0.07644784779792935,0.09620434209165821
2022-07-04,4652,ICBCT,-0.12634839564446196,0.0905025823551967,0.1714875821361832,0.14913505627344725,0.02235252586273595,0.19033055723067982
